<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.09	19:55:00	253.85	253.86	253.78	253.78	110	24897	1
2025.10.09	19:56:00	253.76	253.86	253.76	253.79	114	18875	1
2025.10.09	19:57:00	253.78	253.83	253.74	253.75	91	15454	1
2025.10.09	19:58:00	253.73	253.74	253.57	253.60	162	33918	1
2025.10.09	19:59:00	253.59	253.82	253.59	253.79	139	29430	1
2025.10.09	20:00:00	253.77	253.81	253.72	253.79	70	12763	1
2025.10.09	20:01:00	253.81	253.83	253.77	253.80	68	17626	1
2025.10.09	20:02:00	253.81	253.81	253.67	253.67	76	12160	1
2025.10.09	20:03:00	253.68	253.73	253.60	253.66	155	35261	1
2025.10.09	20:04:00	253.67	253.67	253.53	253.60	136	26165	1
2025.10.09	20:05:00	253.62	253.69	253.55	253.64	130	29259	1
2025.10.09	20:06:00	253.64	253.75	253.63	253.75	77	9767	1
2025.10.09	20:07:00	253.76	253.80	253.70	253.79	97	16152	1
2025.10.09	20:08:00	253.78	253.86	253.74	253.82	120	18459	1
2025.10.09	20:09:00	253.83	253.90	253.80	253.80	94	15949	1
2025.10.09	20:10:00	253.81	253.83	253.74	253.75	27	5452	1
2025.10.09	20:11:00	253.65	253.65	253.57	253.63	97	15111	1
2025.10.09	20:12:00	253.63	253.63	253.41	253.46	204	32078	1
2025.10.09	20:13:00	253.45	253.48	253.28	253.33	172	34385	1
2025.10.09	20:14:00	253.34	253.34	253.23	253.28	208	43514	1
2025.10.09	20:15:00	253.29	253.37	253.19	253.20	125	26353	1
2025.10.09	20:16:00	253.20	253.31	253.20	253.25	154	32267	1
2025.10.09	20:17:00	253.25	253.29	253.21	253.21	96	22718	1
2025.10.09	20:18:00	253.20	253.38	253.18	253.38	139	28279	1
2025.10.09	20:19:00	253.35	253.38	253.23	253.31	149	22710	1
2025.10.09	20:20:00	253.29	253.45	253.28	253.41	122	24196	1
2025.10.09	20:21:00	253.42	253.44	253.31	253.33	99	22450	1
2025.10.09	20:22:00	253.35	253.39	253.28	253.37	83	13402	1
2025.10.09	20:23:00	253.37	253.51	253.37	253.46	105	23852	1
2025.10.09	20:24:00	253.47	253.51	253.36	253.39	124	22918	1
2025.10.09	20:25:00	253.38	253.40	253.31	253.33	79	18266	1
2025.10.09	20:26:00	253.32	253.32	253.20	253.21	124	23701	1
2025.10.09	20:27:00	253.22	253.34	253.20	253.34	79	23879	1
2025.10.09	20:28:00	253.36	253.49	253.36	253.46	131	21338	1
2025.10.09	20:29:00	253.46	253.48	253.37	253.40	72	11746	1
2025.10.09	20:30:00	253.40	253.40	253.19	253.35	140	21913	1
2025.10.09	20:31:00	253.37	253.46	253.36	253.41	129	35177	1
2025.10.09	20:32:00	253.41	253.42	253.24	253.26	134	21633	1
2025.10.09	20:33:00	253.27	253.28	253.14	253.21	206	31839	1
2025.10.09	20:34:00	253.21	253.37	253.19	253.32	101	35683	1
2025.10.09	20:35:00	253.33	253.37	253.28	253.36	81	16522	1
2025.10.09	20:36:00	253.34	253.42	253.34	253.41	101	13934	1
2025.10.09	20:37:00	253.41	253.51	253.33	253.51	166	26740	1
2025.10.09	20:38:00	253.50	253.70	253.50	253.64	199	35764	1
2025.10.09	20:39:00	253.66	253.74	253.65	253.69	166	26657	1
2025.10.09	20:40:00	253.69	253.74	253.65	253.72	116	23471	1
2025.10.09	20:41:00	253.71	253.71	253.56	253.59	130	21468	1
2025.10.09	20:42:00	253.58	253.58	253.41	253.43	119	25474	1
2025.10.09	20:43:00	253.43	253.46	253.35	253.38	135	32625	1
2025.10.09	20:44:00	253.37	253.47	253.36	253.47	97	18318	1
2025.10.09	20:45:00	253.45	253.50	253.39	253.43	99	19607	1
2025.10.09	20:46:00	253.42	253.44	253.36	253.40	65	12450	1
2025.10.09	20:47:00	253.43	253.46	253.37	253.44	97	19269	1
2025.10.09	20:48:00	253.43	253.45	253.39	253.45	55	10764	1
2025.10.09	20:49:00	253.45	253.58	253.45	253.56	105	22585	1
2025.10.09	20:50:00	253.54	253.69	253.51	253.66	83	15908	1
2025.10.09	20:51:00	253.66	253.67	253.52	253.54	83	12853	1
2025.10.09	20:52:00	253.55	253.61	253.55	253.58	88	12481	1
2025.10.09	20:53:00	253.58	253.58	253.44	253.48	129	22413	1
2025.10.09	20:54:00	253.49	253.50	253.42	253.42	55	11976	1
2025.10.09	20:55:00	253.44	253.54	253.43	253.50	82	13545	1
2025.10.09	20:56:00	253.50	253.58	253.50	253.56	69	14430	1
2025.10.09	20:57:00	253.54	253.60	253.52	253.60	55	8673	1
2025.10.09	20:58:00	253.59	253.61	253.54	253.55	67	11945	1
2025.10.09	20:59:00	253.54	253.72	253.54	253.63	98	23154	1
2025.10.09	21:00:00	253.63	253.69	253.62	253.66	114	31749	1
2025.10.09	21:01:00	253.66	253.78	253.65	253.73	197	30174	1
2025.10.09	21:02:00	253.74	253.80	253.62	253.77	169	28190	1
2025.10.09	21:03:00	253.76	253.82	253.64	253.70	212	39378	1
2025.10.09	21:04:00	253.71	253.73	253.61	253.64	162	22010	1
2025.10.09	21:05:00	253.65	253.68	253.49	253.49	174	26869	1
2025.10.09	21:06:00	253.50	253.64	253.50	253.53	142	26256	1
2025.10.09	21:07:00	253.54	253.56	253.47	253.52	113	19747	1
2025.10.09	21:08:00	253.51	253.58	253.49	253.58	65	10670	1
2025.10.09	21:09:00	253.56	253.59	253.51	253.53	127	22779	1
2025.10.09	21:10:00	253.54	253.62	253.52	253.53	73	13906	1
2025.10.09	21:11:00	253.53	253.59	253.47	253.59	121	29531	1
2025.10.09	21:12:00	253.60	253.64	253.54	253.63	73	17158	1
2025.10.09	21:13:00	253.65	253.75	253.64	253.73	107	21173	1
2025.10.09	21:14:00	253.73	253.75	253.70	253.72	107	18041	1
2025.10.09	21:15:00	253.72	253.74	253.69	253.72	106	18881	1
2025.10.09	21:16:00	253.70	253.80	253.68	253.80	92	19278	1
2025.10.09	21:17:00	253.79	253.85	253.78	253.83	90	19281	1
2025.10.09	21:18:00	253.82	253.86	253.72	253.74	138	24673	1
2025.10.09	21:19:00	253.74	253.74	253.64	253.70	110	21231	1
2025.10.09	21:20:00	253.71	253.78	253.68	253.71	92	13064	1
2025.10.09	21:21:00	253.72	253.72	253.59	253.61	112	19083	1
2025.10.09	21:22:00	253.61	253.66	253.60	253.65	81	12957	1
2025.10.09	21:23:00	253.63	253.63	253.55	253.58	76	13495	1
2025.10.09	21:24:00	253.58	253.59	253.54	253.56	97	15518	1
2025.10.09	21:25:00	253.57	253.62	253.54	253.61	89	13121	1
2025.10.09	21:26:00	253.63	253.67	253.58	253.60	113	20736	1
2025.10.09	21:27:00	253.60	253.66	253.50	253.54	143	26966	1
2025.10.09	21:28:00	253.55	253.57	253.46	253.46	186	35622	1
2025.10.09	21:29:00	253.46	253.46	253.42	253.44	91	14948	1
2025.10.09	21:30:00	253.42	253.44	253.39	253.43	102	27745	1
2025.10.09	21:31:00	253.43	253.47	253.41	253.45	93	16720	1
2025.10.09	21:32:00	253.45	253.45	253.41	253.43	50	8264	1
2025.10.09	21:33:00	253.44	253.52	253.40	253.52	106	19484	1
2025.10.09	21:34:00	253.49	253.57	253.49	253.57	71	10622	1
2025.10.09	21:35:00	253.58	253.61	253.52	253.57	88	29981	1
