<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.10	17:01:00	732.16	732.29	731.21	731.49	69	10303	1
2025.10.10	17:02:00	731.51	732.75	731.23	732.50	44	7092	1
2025.10.10	17:03:00	732.39	732.49	731.50	731.73	50	7270	1
2025.10.10	17:04:00	731.69	732.29	731.69	732.19	27	5481	2
2025.10.10	17:05:00	732.00	733.00	731.78	732.75	33	12600	1
2025.10.10	17:06:00	732.89	733.33	732.70	733.33	55	9815	1
2025.10.10	17:07:00	733.45	733.91	733.00	733.06	142	32093	2
2025.10.10	17:08:00	733.18	733.55	732.28	732.72	59	7881	1
2025.10.10	17:09:00	732.72	733.34	732.62	733.21	49	7634	4
2025.10.10	17:10:00	733.24	733.24	732.73	732.94	49	6786	1
2025.10.10	17:11:00	732.91	733.25	732.49	732.81	65	13738	1
2025.10.10	17:12:00	732.82	732.89	732.49	732.49	36	5826	1
2025.10.10	17:13:00	732.73	732.75	731.46	731.76	72	15195	2
2025.10.10	17:14:00	731.57	732.63	731.50	732.63	45	6074	1
2025.10.10	17:15:00	732.39	732.82	731.83	732.19	69	11452	1
2025.10.10	17:16:00	732.19	732.88	731.81	732.78	39	6883	1
2025.10.10	17:17:00	732.88	733.20	732.42	732.42	60	8570	4
2025.10.10	17:18:00	732.07	732.94	732.07	732.35	68	10862	3
2025.10.10	17:19:00	732.51	732.51	731.78	732.15	46	10889	1
2025.10.10	17:20:00	732.14	733.25	732.14	733.25	66	10441	1
2025.10.10	17:21:00	733.17	733.35	732.83	732.97	53	6678	1
2025.10.10	17:22:00	733.15	733.33	732.46	732.57	46	7783	1
2025.10.10	17:23:00	732.91	733.35	732.86	733.24	17	1895	4
2025.10.10	17:24:00	733.24	733.24	732.76	732.85	55	7408	1
2025.10.10	17:25:00	733.09	733.43	732.61	733.22	43	5530	1
2025.10.10	17:26:00	733.40	733.56	732.84	733.05	82	13470	1
2025.10.10	17:27:00	733.05	733.05	732.50	732.50	29	4294	1
2025.10.10	17:28:00	732.38	732.84	732.31	732.43	36	5640	4
2025.10.10	17:29:00	732.49	732.80	732.04	732.24	77	14175	2
2025.10.10	17:30:00	732.10	732.59	732.00	732.31	68	11476	2
2025.10.10	17:31:00	732.39	732.46	730.75	730.88	63	12431	1
2025.10.10	17:32:00	730.96	731.06	730.34	730.59	77	10734	1
2025.10.10	17:33:00	730.45	730.59	730.10	730.35	36	5828	1
2025.10.10	17:34:00	730.39	730.55	730.00	730.23	101	16137	1
2025.10.10	17:35:00	730.07	730.34	729.85	729.85	58	13952	1
2025.10.10	17:36:00	729.74	729.90	728.90	729.20	64	10055	1
2025.10.10	17:37:00	729.14	729.72	728.97	729.54	83	17304	1
2025.10.10	17:38:00	729.49	729.94	729.29	729.80	62	7368	1
2025.10.10	17:39:00	729.89	730.54	729.80	730.23	80	14277	1
2025.10.10	17:40:00	730.56	730.74	730.29	730.74	31	4070	3
2025.10.10	17:41:00	730.58	730.58	730.15	730.29	40	6493	3
2025.10.10	17:42:00	730.19	730.41	730.15	730.25	29	3580	1
2025.10.10	17:43:00	730.47	730.88	730.37	730.71	39	6750	2
2025.10.10	17:44:00	730.76	731.39	730.76	731.10	35	6029	3
2025.10.10	17:45:00	731.08	731.68	730.75	731.68	35	6647	1
2025.10.10	17:46:00	731.75	731.89	731.22	731.33	40	5576	4
2025.10.10	17:47:00	731.33	731.45	731.06	731.43	35	3970	2
2025.10.10	17:48:00	731.37	731.94	731.37	731.81	24	4216	2
2025.10.10	17:49:00	731.88	732.06	731.58	731.66	52	6228	1
2025.10.10	17:50:00	731.77	731.81	731.15	731.19	40	6003	1
2025.10.10	17:51:00	731.44	731.46	731.22	731.35	35	4708	1
2025.10.10	17:52:00	731.33	731.50	731.05	731.11	27	3023	1
2025.10.10	17:53:00	731.05	731.05	730.39	730.63	75	16863	3
2025.10.10	17:54:00	730.56	730.95	730.47	730.95	40	6447	1
2025.10.10	17:55:00	730.97	731.18	730.67	730.67	40	5824	1
2025.10.10	17:56:00	730.74	731.14	730.54	730.75	44	5599	1
2025.10.10	17:57:00	730.55	730.85	728.46	728.46	114	15284	1
2025.10.10	17:58:00	728.69	728.99	726.83	728.00	174	27241	1
2025.10.10	17:59:00	727.57	727.57	724.60	725.65	321	54289	1
2025.10.10	18:00:00	725.66	725.66	722.46	723.35	180	25599	1
2025.10.10	18:01:00	722.20	723.08	720.09	720.22	355	50883	1
2025.10.10	18:02:00	720.04	720.77	718.83	719.50	256	46804	1
2025.10.10	18:03:00	719.49	720.97	717.86	718.74	226	40304	1
2025.10.10	18:04:00	718.95	719.00	716.12	717.31	177	33426	1
2025.10.10	18:05:00	717.27	720.16	717.27	720.16	146	28803	1
2025.10.10	18:06:00	719.97	721.49	719.20	720.57	144	38320	2
2025.10.10	18:07:00	720.57	720.82	718.99	719.56	140	24284	1
2025.10.10	18:08:00	719.33	720.50	718.54	719.76	92	15868	1
2025.10.10	18:09:00	719.73	720.98	718.40	718.97	114	15571	1
2025.10.10	18:10:00	718.89	720.89	718.50	720.73	141	19179	2
2025.10.10	18:11:00	720.76	721.61	720.40	720.68	133	19026	1
2025.10.10	18:12:00	720.12	720.65	719.28	720.30	95	16635	1
2025.10.10	18:13:00	720.05	721.70	719.97	721.40	81	12327	1
2025.10.10	18:14:00	721.74	721.89	720.51	720.55	118	20268	1
2025.10.10	18:15:00	720.27	721.36	720.03	721.17	68	9479	2
2025.10.10	18:16:00	720.96	721.16	719.14	719.41	80	15734	5
2025.10.10	18:17:00	719.53	719.89	718.80	719.16	73	10841	1
2025.10.10	18:18:00	719.04	719.17	717.00	717.44	144	21089	1
2025.10.10	18:19:00	717.41	717.69	715.83	717.08	152	25920	1
2025.10.10	18:20:00	717.25	718.29	715.97	716.11	95	17246	1
2025.10.10	18:21:00	715.85	716.47	715.20	715.20	191	26734	1
2025.10.10	18:22:00	715.60	716.35	715.04	716.35	173	27819	1
2025.10.10	18:23:00	716.36	716.48	715.00	715.20	164	31851	1
2025.10.10	18:24:00	715.20	715.41	713.60	714.00	237	53546	1
2025.10.10	18:25:00	714.22	714.66	713.09	713.23	131	30838	2
2025.10.10	18:26:00	713.55	714.54	713.00	713.90	125	18485	1
2025.10.10	18:27:00	713.99	715.62	713.53	715.24	223	39995	1
2025.10.10	18:28:00	714.70	715.26	713.93	714.00	146	23356	1
2025.10.10	18:29:00	714.18	714.65	713.14	713.63	111	17740	1
2025.10.10	18:30:00	713.29	713.50	711.23	711.78	150	25071	1
2025.10.10	18:31:00	712.16	713.23	711.15	712.91	148	23283	1
2025.10.10	18:32:00	713.11	713.11	710.46	710.68	204	42224	1
2025.10.10	18:33:00	710.44	712.04	709.61	710.28	221	32909	2
2025.10.10	18:34:00	710.44	711.49	709.81	710.46	262	43276	1
