<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.09	21:06:00	231.36	231.58	231.25	231.46	244	70963	1
2025.10.09	21:07:00	231.52	232.03	231.40	231.97	475	103838	1
2025.10.09	21:08:00	232.00	232.07	231.25	231.46	504	129481	1
2025.10.09	21:09:00	231.40	231.52	231.17	231.37	305	80352	1
2025.10.09	21:10:00	231.38	231.59	231.34	231.40	258	61117	1
2025.10.09	21:11:00	231.49	231.49	231.22	231.45	228	49976	1
2025.10.09	21:12:00	231.44	231.50	231.28	231.37	171	41156	1
2025.10.09	21:13:00	231.34	231.36	231.17	231.28	202	50261	1
2025.10.09	21:14:00	231.26	231.29	231.08	231.08	166	56222	1
2025.10.09	21:15:00	231.09	231.28	231.05	231.16	170	49795	1
2025.10.09	21:16:00	231.17	231.34	231.07	231.31	212	51384	1
2025.10.09	21:17:00	231.26	231.45	231.21	231.41	240	64097	1
2025.10.09	21:18:00	231.43	231.62	231.37	231.52	307	75304	1
2025.10.09	21:19:00	231.54	232.00	231.54	231.90	374	92591	1
2025.10.09	21:20:00	231.90	232.02	231.73	232.01	377	96253	1
2025.10.09	21:21:00	231.99	232.39	231.90	232.39	497	137735	1
2025.10.09	21:22:00	232.39	232.65	232.35	232.61	637	181998	1
2025.10.09	21:23:00	232.62	232.73	232.23	232.48	628	170897	1
2025.10.09	21:24:00	232.54	232.94	232.51	232.90	544	174962	1
2025.10.09	21:25:00	232.89	233.01	232.66	232.90	622	148182	1
2025.10.09	21:26:00	232.90	233.00	232.42	232.65	666	173192	1
2025.10.09	21:27:00	232.62	232.85	232.47	232.49	376	92060	1
2025.10.09	21:28:00	232.60	232.82	232.52	232.67	372	100482	1
2025.10.09	21:29:00	232.65	232.68	232.50	232.54	242	75802	1
2025.10.09	21:30:00	232.54	232.59	232.31	232.39	411	96456	1
2025.10.09	21:31:00	232.37	232.47	232.22	232.32	330	94148	1
2025.10.09	21:32:00	232.31	232.39	232.15	232.18	245	51648	1
2025.10.09	21:33:00	232.16	232.24	231.56	231.81	464	125012	1
2025.10.09	21:34:00	231.82	231.94	231.70	231.84	308	70917	1
2025.10.09	21:35:00	231.89	231.93	231.63	231.69	246	52912	1
2025.10.09	21:36:00	231.72	231.90	231.64	231.74	216	57630	1
2025.10.09	21:37:00	231.74	231.94	231.73	231.77	209	66708	1
2025.10.09	21:38:00	231.74	231.84	231.60	231.61	277	62524	1
2025.10.09	21:39:00	231.62	231.67	231.40	231.40	337	93903	1
2025.10.09	21:40:00	231.40	231.61	231.35	231.56	315	76354	1
2025.10.09	21:41:00	231.56	231.69	231.36	231.60	230	78473	1
2025.10.09	21:42:00	231.60	231.79	231.60	231.71	230	67106	1
2025.10.09	21:43:00	231.73	232.05	231.69	231.83	354	109751	1
2025.10.09	21:44:00	231.82	231.97	231.75	231.92	226	58352	1
2025.10.09	21:45:00	231.92	231.95	231.41	231.49	248	73497	1
2025.10.09	21:46:00	231.41	231.48	231.20	231.21	312	88746	1
2025.10.09	21:47:00	231.24	231.66	231.23	231.46	236	63974	1
2025.10.09	21:48:00	231.46	231.67	231.10	231.24	309	77851	1
2025.10.09	21:49:00	231.26	231.31	231.06	231.06	264	66133	1
2025.10.09	21:50:00	231.06	231.16	230.83	230.91	310	73336	1
2025.10.09	21:51:00	230.85	231.01	230.80	230.97	207	55390	1
2025.10.09	21:52:00	230.92	230.98	230.80	230.89	167	59320	1
2025.10.09	21:53:00	230.89	231.22	230.84	231.12	237	60125	1
2025.10.09	21:54:00	231.09	231.33	231.07	231.29	310	78573	1
2025.10.09	21:55:00	231.27	231.45	231.21	231.37	292	68931	1
2025.10.09	21:56:00	231.34	231.77	231.25	231.76	287	77959	1
2025.10.09	21:57:00	231.74	231.80	231.64	231.74	263	68557	1
2025.10.09	21:58:00	231.76	231.76	231.40	231.41	240	62760	1
2025.10.09	21:59:00	231.41	231.48	231.13	231.42	299	71808	1
2025.10.09	22:00:00	231.42	231.50	231.09	231.23	307	83953	1
2025.10.09	22:01:00	231.22	231.38	231.15	231.32	162	35651	1
2025.10.09	22:02:00	231.35	231.40	231.06	231.07	307	151669	1
2025.10.09	22:03:00	231.10	231.55	231.04	231.49	248	55525	1
2025.10.09	22:04:00	231.49	231.50	231.13	231.16	231	47771	1
2025.10.09	22:05:00	231.17	231.55	231.10	231.51	276	57559	1
2025.10.09	22:06:00	231.51	231.80	231.47	231.71	286	71157	1
2025.10.09	22:07:00	231.72	231.89	231.55	231.55	323	71429	1
2025.10.09	22:08:00	231.55	231.55	231.33	231.40	266	72477	1
2025.10.09	22:09:00	231.45	231.47	231.22	231.22	199	53706	1
2025.10.09	22:10:00	231.24	231.40	231.22	231.29	275	69684	1
2025.10.09	22:11:00	231.29	231.29	230.84	231.01	429	186344	1
2025.10.09	22:12:00	231.01	231.15	230.90	230.91	322	82664	1
2025.10.09	22:13:00	230.87	231.01	230.69	230.81	567	126815	1
2025.10.09	22:14:00	230.83	231.02	230.68	230.88	384	92373	1
